Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccc(CCc2ccc(-c3cc(-c4ccccc4)c4ccccc34)c2)cc1,2,1.257861635220126,1,5.263157894736842,0.4462453,0.3662149,0.44751315,['CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1'],28,-0.08129825000000002,320
c1ccc(CCc2ccc(-c3ccc4ccccc34)c2)cc1,2,1.257861635220126,1,5.263157894736842,0.4462453,0.3662149,0.44751315,['CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1'],22,-0.08129825000000002,320
c1ccc2cccc2c1,69,32.54716981132076,23,95.83333333333334,0.44498519999999997,0.4425749,0.4688555,"['CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)o1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'O=C(O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1', 'COC(=O)c1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccc(OC)cc23)cc1', 'COc1cc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)oc1OC', 'COc1nc(-c2oc(-c3ccccc3)c3ccccc23)no1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'COCc1oc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1OC', 'COc1ccc(-c2oc(-c3ccc(OC(=O)O)c(OC)c3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccc(Br)cc23)cc1', 'Cc1cc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)no1', 'OC(c1ccccc1)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1']",9,-0.026280599999999987,330
c1ccc(-c2ccc3ccccc23)cc1,48,22.641509433962266,23,95.83333333333334,0.44498519999999997,0.4425749,0.4688555,"['CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)o1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'O=C(O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1', 'COC(=O)c1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccc(OC)cc23)cc1', 'COc1cc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)oc1OC', 'COc1nc(-c2oc(-c3ccccc3)c3ccccc23)no1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'COCc1oc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1OC', 'COc1ccc(-c2oc(-c3ccc(OC(=O)O)c(OC)c3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccc(Br)cc23)cc1', 'Cc1cc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)no1', 'OC(c1ccccc1)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1']",15,-0.026280599999999987,330
c1ccc(-c2cc(-c3ccccc3)c3ccccc23)cc1,36,16.9811320754717,18,75.0,0.44498519999999997,0.43955469999999996,0.4547683,"['CCC(=O)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'O=C(O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1', 'COC(=O)c1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccc(OC)cc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC(=O)O)c(OC)c3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccc(Br)cc23)cc1', 'OC(c1ccccc1)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1']",21,-0.01521360000000005,330
c1ccccc1,26,12.264150943396226,19,79.16666666666666,0.44498519999999997,0.4365345,0.4555277,"['CCC(=O)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CC(C)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'O=C(O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1', 'COC(=O)c1ccc(-c2oc(-c3ccc(C)cc3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccc(OC)cc23)cc1', 'CS(=O)(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(OC(=O)O)c(OC)c3)c3ccccc23)cc1', 'CC(C)(C)OC(=O)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1', 'CC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccc(Br)cc23)cc1', 'Cc1cc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)no1', 'OC(c1ccccc1)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1']",6,-0.018993199999999988,330
c1ccc(-c2ccc3ccccc23)c1,10,4.716981132075472,5,20.833333333333336,0.44498519999999997,0.4540089,0.4425749,"['CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)oc1OC', 'COc1nc(-c2oc(-c3ccccc3)c3ccccc23)no1', 'COCc1oc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1OC', 'Cc1cc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)no1']",14,0.011434,330
c1ccc(-c2cc(-c3cccc3)c3ccccc23)cc1,10,4.716981132075472,5,20.833333333333336,0.44498519999999997,0.4540089,0.4425749,"['CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)oc1OC', 'COc1nc(-c2oc(-c3ccccc3)c3ccccc23)no1', 'COCc1oc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1OC', 'Cc1cc(-c2oc(-c3ccc([N+](=O)[O-])cc3)c3ccccc23)no1']",20,0.011434,330
c1cccc1,3,1.4150943396226416,3,12.5,0.44498519999999997,0.4540089,0.4425749,"['CS(=O)(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)oc1OC', 'COCc1oc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1OC']",5,0.011434,330
c1ccc(Cc2ccccc2)cc1,3,1.4150943396226416,1,4.166666666666666,0.44498519999999997,0.4339666,0.4473955,['OC(c1ccccc1)c1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)cc1'],13,-0.013428900000000021,330
