smiles,score,S12T1,S1_exc,T2_exc,T1_exc
Cl[Si+2]123(Cl)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c-]1[c+]2[cH-][cH+][cH-][cH+][c-]2[c+](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15,-7.405360614270324,0.09929999999999994,2.2347,1.0677,1.0673
COc1ccc2c(c1)C1C3=C=C=C=C=C3C3c4cc(OC)ccc4C4C#CC2C413,-5.615438243160708,0.42700000000000005,2.6738,1.1234,0.9186
CCOC(=O)C1=[N+]2C(=C(c3ccc(C=Cc4ccc(C5=C6C(C)=C(C)C(C(=O)OCC)=[N+]6[B-](F)(F)n6c(C(=O)OCC)c(C)c(C)c65)cc4)cc3)c3c(C)c(C)c(C(=O)OCC)n3[B-]2(F)F)C(C)=C1C,-0.1284547523013657,-0.03410000000000002,3.1121,1.5731,1.5731
CC1=C(C)C(=[S+]c2ccc([S+]=C3C(C)=C(C)C4=Cc5c(C)c(C)c(C)n5[B-](F)(F)N43)cc2)N2C1=Cc1c(C)c(C)c(C)n1[B-]2(F)F,-0.4328455241165764,-0.09269999999999978,2.9531,1.5229,1.521
CCC1=C(C)C2=C(c3cccc4c3Oc3c(C5=C6C(C)=C(CC)C(C)=[N+]6[B-](F)(F)n6c(C)c(CC)c(C)c65)cccc3C4(C)C)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,-0.4564177469469906,-0.08539999999999992,2.9482,1.5168,1.5159
COCCOCCOCCO[Si+2]123(OCCOCCOCCOC)n4[c+]5[c-]6[cH+][cH-][cH+][cH-][c+]6[c-]4[N-][c-]4[c+]6[cH-][cH+][cH-][cH+][c-]6[c+](n41)[N-][c+]1[c-]4[cH+][cH-][cH+][cH-][c+]4[c-](n12)[N-][c-]1[c+]2[cH-][cH+][cH-][cH+][c-]2[c+](n13)[N-]5,-6.919538252720282,-0.10200000000000031,2.2718,1.1869,1.1198
CCCCCCCCCCCCCCCCCCCCC[C+]([O-])O[Si+2]123(O[C+]([O-])CCCCCCCCCCCCCCCCCCCCC)N4[C-]5[N-][c-]6[c+]7[cH+][cH+][cH+][cH-][c+]7[c+](n61)[N-][C-]1[c-]6[cH+][cH-][cH+][cH-][c+]6[C-]([N-][c-]6[c+]7[c-]([c+](n62)[N-][C-]4[c-]2[cH+][cH-][cH+][cH-][c+]25)[CH-][CH+][CH+][CH+]7)N13,-7.544942502785528,0.01670000000000016,2.2203,1.1018,1.0591
[N-2][N-][N-]CCCCC[C+]([O-])O[Si+2]123(O[C+]([O-])CCCCC[N-][N-][N-2])N4[C+]5[N-][C-]6[c+]7[cH-][cH+][cH-][cH+][c-]7[C-]([N-][C+]7[c-]8[cH+][cH-][cH+][cH-][c+]8[C+]([N-][c-]8[c+]9[cH-][cH+][cH+][cH+][c+]9[c+](n81)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15)N72)N63,-7.74068353137674,0.02729999999999988,2.2033,1.088,1.042
O=NC1(Cl)CCC(Cl)(N=O)CC1,-10.73344988222505,0.1569999999999998,1.895,0.8690000000000001,0.8654
C=C(C=CC=CC(=C)C=CC=C(C)C(=O)OC)C=CC=C(C)C(=O)OC,-2.3997900505902248,-0.08169999999999966,4.0849,2.0833,1.751
CC(C)(C)[C+]1[CH-][CH+][C+]([C-]([O-])O[Si+2]234(O[C+]([O-])[c-]5[cH+][cH-][c+](C(C)(C)C)[cH-][cH+]5)N5[C+]6[N-][c-]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c+](n72)[N-][c-]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c+](n23)[N-][c-]2[c+]3[cH-][cH+][cH-][cH+][c-]3[c+](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[CH+][CH-]1,-7.455704878404738,0.03229999999999977,2.2333,1.1005,1.0577
CC(C)(C)[Si](C)(C)[Si](=C1C2CC3CC(C2)CC1C3)[Si](=C1C2CC3CC(C2)CC1C3)[Si](C)(C)C(C)(C)C,-0.2735683554965478,-0.16820000000000013,3.8066,1.9874,1.9318
F[c+]1[c-](F)[cH+][c-](O[Si+2]234(O[c-]5[cH+][c-](F)[c+](F)[c-](F)[cH+]5)N5[C+]6[N-][c+]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c-](n72)[N-][c+]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n23)[N-][c+]2[c-]3[cH+][cH-][cH+][cH-][c+]3[c-](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[cH+][c-]1F,-7.899474115946406,-0.048499999999999766,2.1865,1.1175,1.0334
c1ccc(C2=NN(c3ccccc3)c3cc4c(c(=c5c6c(cc7c5nc(-c5ccccc5)n[n+]7-c5ccccc5)N(c5ccccc5)N=C(c5ccccc5)N=6)c3=N2)[N-]C(c2ccccc2)=NN4c2ccccc2)cc1,-9.413003603223013,0.3697999999999999,2.11,0.8701,0.8242
C[Si](C)(C)C#CC(C#C[Si](C)(C)C)=C1C(=C(C#C[Si](C)(C)C)C#C[Si](C)(C)C)C1=C(C#C[Si](C)(C)C)C#C[Si](C)(C)C,-0.6942789240755768,0.016699999999999715,2.9387,1.461,1.4449
CCC1=C(C)C2=C(c3ccnc4c3ccc3c(C5=C6C(C)=C(CC)C(C)=[N+]6[B-](F)(F)n6c(C)c(CC)c(C)c65)ccnc34)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,0.4026323777403042,0.11660000000000004,3.2122,1.5478,1.5478
S=[S+]N=[S+]C1C2C=CC(C2)C1S[N-]S[S-],-3.467078408484786,-0.1554000000000002,2.622,1.3887,1.3371
F[B-]1(F)N(c2ccccc2)N=C(c2cccc(C3=NN(c4ccccc4)[B-](F)(F)[N+](c4ccccc4)=N3)c2)N=[N+]1c1ccccc1,-2.6815997794865263,0.2836000000000003,2.8818,1.2991,1.2044
F[B-]1(F)n2cccc2C(c2ccc(C3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)cc2)=C2C=CC=[N+]21,0.0866410352765817,0.019000000000000128,3.4214,1.7012,1.6992
