Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
C1CC1,4,3.7735849056603774,4,8.0,0.00341505,0.0007530000000000001,0.0035655,"['O=C1CCC(C2OC(=O)c3ccccc3COCCC23CC3)N1', 'O=CC1(OC(=O)C(F)(F)C(F)c2ccccc2Br)CC1c1ccccc1', 'O=C(OC12C(=O)OCCC1C(=O)c1ccccc1OC21CC1)c1ccccc1', 'O=C1Cc2ccccc2C2(CC2)N1']",3,-0.0028125,20
C1CCOCC1,4,3.7735849056603774,4,8.0,0.00341505,0.0023586500000000003,0.0035655,"['O=CC1CC(=O)OC(c2ccccc2)C1SCc1ccc(Cl)cc1', 'O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1', 'O=C1CC2(CC(=O)N(Cc3ccccc3)O2)OC(=O)C1=O', 'CCOc1ccc(C2OC(=O)CCC2CC)cc1']",6,-0.0012068499999999998,20
c1ccoc1,3,2.8301886792452833,2,4.0,0.00341505,0.0106083,0.00341505,"['O=C1OC(=O)C(c2ccoc2)C1Cc1ccco1', 'CNC(=S)Nc1ccccc1NC(=S)c1ccco1']",5,0.007193249999999999,20
C1CCCC1,3,2.8301886792452833,2,4.0,0.00341505,0.0027628,0.00341505,"['O=C1CCC(C(CCC(=O)c2ccccc2)OC(=O)OC(CBr)c2ccccc2)C1', 'NC(=O)C1(C2CCC(=O)C2)CCCC1=O']",5,-0.00065225,20
C1CCCCC1,2,1.8867924528301887,2,4.0,0.00341505,0.01473845,0.00341505,"['O=C1CCC(=Cc2cccc3cccnc23)C(=O)C1', 'O=C1CCC(=Cc2ccccc2)CC1']",6,0.0113234,20
c1ccc2c(c1)CCNC2,2,1.8867924528301887,2,4.0,0.00341505,8.64e-05,0.0035655,"['O=C1Cc2ccccc2C2(CC2)N1', 'O=C1Cc2ccccc2C(=O)N1CC(Br)C(F)c1ccccc1']",10,-0.0034791,20
C1CCNC1,2,1.8867924528301887,2,4.0,0.00341505,0.00013675,0.0035655,"['O=C1CCC(C2OC(=O)c3ccccc3COCCC23CC3)N1', 'Cc1ccc(C2CC(=O)N(Cc3ccccc3)C2=O)cc1']",5,-0.00342875,20
c1ccc2c(c1)CCCC2,2,1.8867924528301887,2,4.0,0.00341505,0.01541295,0.00334325,"['O=C1C(=O)C(c2ccc(Cl)cc2)C(=O)c2ccccc21', 'O=C1CC(=O)C(O)(c2ccccc2)c2ccccc21']",10,0.0120697,20
c1ccc2c(c1)CCC2,2,1.8867924528301887,2,4.0,0.00341505,0.0092084,0.00334325,"['O=C1c2ccccc2C(=O)C1(O)Cc1ccccc1', 'O=CSC1c2ccccc2C(=O)C1c1ccc(Cl)cc1']",9,0.00586515,20
c1ccc2c(c1)COC2,2,1.8867924528301887,2,4.0,0.00341505,0.00021665,0.0035655,"['O=C1OC(Cc2ccccc2)c2ccccc21', 'O=C(CO)NC1OC(=O)c2ccccc21']",9,-0.00334885,20
c1ccc2ncccc2c1,1,0.9433962264150944,1,2.0,0.00341505,0.0269739,0.0033443,['O=C1CCC(=Cc2cccc3cccnc23)C(=O)C1'],10,0.023629599999999997,20
c1ccc2c(c1)CCCOC2,1,0.9433962264150944,1,2.0,0.00341505,0.0039734,0.0033443,['O=C1OC(c2ccc(CO)cc2)c2ccccc2C(=O)C1Cl'],11,0.0006291000000000001,20
c1ccc2c(c1)CCOC2,1,0.9433962264150944,1,2.0,0.00341505,0.0081583,0.0033443,['O=C1OC(Cc2ccccc2)C(=O)c2ccccc21'],10,0.004814000000000001,20
C1CCNCC1,1,0.9433962264150944,1,2.0,0.00341505,0.0033443,0.0034858,['O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1'],6,-0.0001414999999999997,20
c1ccc2c(c1)COCCCCOC2,1,0.9433962264150944,1,2.0,0.00341505,0.0,0.0034858,['O=C1CCC(C2OC(=O)c3ccccc3COCCC23CC3)N1'],14,-0.0034858,20
c1ccc2c(c1)CCC1CCCCC1O2,1,0.9433962264150944,1,2.0,0.00341505,0.0038733,0.0033443,['N#CC12CCC(=O)CC1CC(=O)c1ccccc1O2'],15,0.000529,20
c1ccc2c(c1)CCCCC2,1,0.9433962264150944,1,2.0,0.00341505,0.0259373,0.0033443,['O=C1CCc2ccccc2CC1=O'],11,0.022593,20
C1=NCCc2ccccc21,1,0.9433962264150944,1,2.0,0.00341505,0.0841776,0.0033443,['O=C1C(=C2CC(=O)c3ccccc3N2)N=Cc2ccccc21'],10,0.08083330000000001,20
c1ccc2c(c1)CCCN2,1,0.9433962264150944,1,2.0,0.00341505,0.0841776,0.0033443,['O=C1C(=C2CC(=O)c3ccccc3N2)N=Cc2ccccc21'],10,0.08083330000000001,20
c1ccc2cnccc2c1,1,0.9433962264150944,1,2.0,0.00341505,0.0049262,0.0033443,['O=c1c2ccccc2cc(CO)n1CCOCc1ccccc1'],10,0.0015819000000000002,20
C1=Cc2ccccc2CC1,1,0.9433962264150944,1,2.0,0.00341505,0.0180297,0.0033443,['COCC1=Cc2ccccc2C(=O)C1(O)S(=O)(=O)c1ccc(C)cc1'],10,0.0146854,20
c1ccc2c(c1)CCS2,1,0.9433962264150944,1,2.0,0.00341505,0.0004399,0.0034858,['COC(=O)C1(C2(C(=O)OC)CS(=O)(=O)c3ccccc32)SCS1'],9,-0.0030459,20
c1cocn1,1,0.9433962264150944,1,2.0,0.00341505,0.0021672,0.0034858,['O=C1OC(Cc2coc(-c3ccccc3)n2)CC1(O)O'],5,-0.0013185999999999996,20
C1CNOC1,1,0.9433962264150944,1,2.0,0.00341505,0.0283673,0.0033443,['O=C1CC2(CC(=O)N(Cc3ccccc3)O2)OC(=O)C1=O'],5,0.025023,20
C1=CNCC1,1,0.9433962264150944,1,2.0,0.00341505,0.0016887,0.0034858,['CCOC(=O)C1=CCC(=O)N1c1ccccc1'],5,-0.0017970999999999998,20
c1ccc2c(c1)CC1CCCC2CO1,1,0.9433962264150944,1,2.0,0.00341505,0.0085634,0.0033443,['COC(=O)C1(C)CCC2(c3ccccc3O)COC1C(=O)c1ccc(-c3ccccc3)cc12'],14,0.005219100000000001,20
c1ccc2c(c1)CC1CCOCC1CO2,1,0.9433962264150944,1,2.0,0.00341505,0.0045974,0.0033443,['O=C(OC12C(=O)OCCC1C(=O)c1ccccc1OC21CC1)c1ccccc1'],15,0.0012530999999999996,20
C1SCS1,1,0.9433962264150944,1,2.0,0.00341505,0.0004399,0.0034858,['COC(=O)C1(C2(C(=O)OC)CS(=O)(=O)c3ccccc32)SCS1'],4,-0.0030459,20
c1ccc2c(c1)CNC2,1,0.9433962264150944,1,2.0,0.00341505,0.0061956,0.0033443,['O=C(OCCN1C(=O)c2ccccc2C1=O)c1ccc([N+](=O)[O-])cc1'],9,0.0028512999999999998,20
C1COCOC1,1,0.9433962264150944,1,2.0,0.00341505,0.0033422,0.0034858,['O=C1OCC(CC(=O)c2ccccc2)C(=O)O1'],6,-0.0001435999999999998,20
c1ccc2c(c1)CCCO2,1,0.9433962264150944,1,2.0,0.00341505,0.0,0.0034858,['O=C1CC(=O)c2ccccc2O1'],10,-0.0034858,20
C1CCC2CCCC2C1,1,0.9433962264150944,1,2.0,0.00341505,0.0042505,0.0033443,['O=C(CC12CCCC(=O)C1C(=O)CC2)c1ccccc1'],9,0.0009061999999999998,20
C1CCOCNC1,1,0.9433962264150944,1,2.0,0.00341505,0.0001403,0.0034858,['CCC1(O)CCOC(=O)NC1Cc1ccccc1'],7,-0.0033455,20
