Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
N#Cc1ccc(-c2oc(-c3ccccc3)c3ccc([N+](=O)[O-])cc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4262651,0.4443363,['N#Cc1ccc(-c2oc(-c3ccccc3)c3ccc([N+](=O)[O-])cc23)cc1'],26,-0.01807120000000001,400
CCOC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4400929,0.4443363,['CCOC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1'],28,-0.004243400000000008,400
CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)o1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4477005,0.44170805,['CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)o1'],25,0.0059924499999999825,400
CCc1ccc(-c2oc(-c3ccccc3)c3ccc(OC)cc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4566102,0.44170805,['CCc1ccc(-c2oc(-c3ccccc3)c3ccc(OC)cc23)cc1'],25,0.014902150000000003,400
COCc1ccccc1Br,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4613875,0.44170805,['COCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Br'],10,0.019679449999999987,400
COCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Br,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4613875,0.44170805,['COCc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1Br'],25,0.019679449999999987,400
COS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)o1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4433232,0.44272115,['COS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)o1'],26,0.0006020499999999651,400
O=C(CBr)Oc1ccccc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.460313,0.44170805,['O=C(CBr)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1'],11,0.01860495000000001,400
CC(=O)Oc1ccccc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4453494,0.44170805,['CC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(OC(C)=O)cc23)cc1'],10,0.0036413499999999877,400
CC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(OC(C)=O)cc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4453494,0.44170805,['CC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccc(OC(C)=O)cc23)cc1'],29,0.0036413499999999877,400
COOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OC,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4639806,0.44170805,['COOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OC'],26,0.022272550000000002,400
*c1oc(-c2cccnc2)c2ccccc12,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4362215,0.4443363,['COc1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1O'],16,-0.008114800000000033,400
c1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4362215,0.4443363,['COc1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1O'],21,-0.008114800000000033,400
